rank,model,thinking_effort,part1,part2,overall
1,Claude Opus 5,high,98.33333333333333,87.5,94.0
2,GPT-6 Astra,max,99.44444444444444,85.83333333333333,94.0
3,Claude Opus 5.5,max,98.88888888888889,85.83333333333333,93.66666666666667
4,Claude Opus 5,xhigh,95.41666666666667,90.0,93.25
5,Claude Fable 5,max,95.83333333333334,86.875,92.25
6,Claude Opus 5,max,95.0,87.91666666666667,92.16666666666666
7,Claude Fable 5.1,max,95.83333333333334,86.45833333333334,92.08333333333333
8,Gemini 3.7 Flash,high,97.5,80.625,90.75
9,Muse Spark 1.2,xhigh,96.11111111111111,82.08333333333333,90.5
10,Claude Opus 5,medium,92.77777777777779,82.91666666666667,88.83333333333333
11,Claude Opus 4.8,max,92.5,80.625,87.75
12,Gemini 3.5 Flash,default,95.69444444444444,73.54166666666667,86.83333333333333
13,GPT 5.6 Sol,max,91.80555555555556,77.08333333333334,85.91666666666666
14,Gemini 3.6 Flash,default,92.91666666666667,75.41666666666667,85.91666666666666
15,Qwen 3.8 Max,default,97.77777777777777,67.5,85.66666666666667
16,Grok 4.5,default,91.80555555555556,72.5,84.08333333333333
17,GPT-5.6 Terra,max,90.69444444444444,72.08333333333333,83.25
18,Grok 4.6,xhigh,86.66666666666667,73.75,81.5
19,Qwen 3.8 27B,default,95.55555555555556,60.0,81.33333333333333
20,GPT-5.6 Luna,max,90.13888888888889,67.70833333333334,81.16666666666667
21,Gemini 3.1 Pro,high,90.0,66.875,80.75
22,Qwen 3.7 Plus,default,89.72222222222223,65.625,80.08333333333333
23,GPT-5.5,max,85.0,72.08333333333333,79.83333333333333
24,GPT-5.3,default,85.41666666666666,65.83333333333333,77.58333333333334
25,Qwen 3.7 Flash,default,88.61111111111111,59.583333333333336,77.0
26,Kimi K3,max,83.33333333333334,66.45833333333333,76.58333333333334
27,GPT-5.4,high,84.02777777777779,62.5,75.41666666666667
28,Kimi K2.7,default,81.80555555555556,65.0,75.08333333333333
29,Inkling Small,default,81.25,63.95833333333333,74.33333333333333
30,Claude Sonnet 4.6,default,76.66666666666667,59.583333333333336,69.83333333333334
31,Step 3.7 Flash,default,70.13888888888889,67.29166666666667,69.0
32,GPT-5,default,77.08333333333334,55.625,68.5
33,GPT-5.4 Mini,medium,75.83333333333333,54.79166666666667,67.41666666666667
34,Inkling,default,71.11111111111111,55.833333333333336,65.0
35,Gemini 2.5 Pro,default,70.13888888888889,56.458333333333336,64.66666666666666
36,MiniMax M3,default,59.44444444444444,45.208333333333336,53.75
37,Claude Sonnet 4,default,52.77777777777778,53.541666666666664,53.083333333333336
38,Qwen3-VL-235B-A22B Instruct,default,51.80555555555556,54.37499999999999,52.83333333333333
39,Gemma 4 31B IT,default,56.94444444444444,46.666666666666664,52.83333333333333
40,Llama 4 Maverick,default,54.44444444444444,46.041666666666664,51.083333333333336
41,Claude Haiku 4.5,default,42.916666666666664,43.541666666666664,43.166666666666664
42,Gemini 2.5 Flash-Lite,default,44.44444444444444,39.791666666666664,42.583333333333336
43,GPT-4o,default,41.52777777777778,42.083333333333336,41.75
44,Qwen2.5-VL-72B Instruct,default,40.97222222222222,34.166666666666664,38.25
45,GPT-4o Mini,default,35.833333333333336,40.208333333333336,37.583333333333336
